gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
m;professional;city;yes;min_once_a_month;8g;0;1;0;0;1;1;1;0;;203;;;224;205;219;;education
f;higher;city;yes;sev_a_year;9g;0;0;0;0;0;0;1;1;;;;;;;301;287;sep
m;higher;city;no;sev_a_year;11g;0;1;0;0;0;0;1;1;;286;;;;;229;264;child
f;professional;city;yes;once_a_week;3g;1;1;0;0;1;1;1;1;288;300;;;300;299;203;352;br
m;general;city;yes;sev_a_year;8g;1;1;0;0;1;0;1;1;270;288;;;279;;165;190;sep
f;general;city;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;230;;;;177;201;237;child
f;professional;city;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;256;;;;256;214;212;child
f;higher;city;yes;sev_a_year;4g;0;0;0;0;0;0;0;1;;;;;;;;287;sep
f;professional;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;257;;;267;;221;219;sep
f;professional;city;yes;sev_a_year;7g;1;0;0;0;1;1;1;1;442;;;;471;442;234;231;marriage
f;general;city;yes;min_once_a_month;2g;0;1;0;0;0;1;1;1;;232;;;;232;216;219;child
f;higher;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;1;;244;;;253;244;228;286;div
m;general;city;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;267;;;284;;268;509;sep
m;general;city;yes;never;2g;0;1;0;0;1;0;1;1;;359;;;368;;198;309;sep
m;professional;city;yes;never;9g;1;1;1;0;1;1;1;1;250;360;339;;278;262;197;226;div
m;professional;city;yes;sev_a_year;11g;1;0;0;0;0;1;1;1;251;;;;;217;191;226;br
f;professional;city;yes;min_once_a_month;6g;0;1;0;0;0;1;1;1;;258;;;;189;223;231;child
f;professional;city;yes;sev_a_year;5g;0;0;0;0;0;1;1;1;;;;;;318;204;230;child
m;higher;city;yes;sev_a_year;8g;0;1;0;0;1;1;1;0;;280;;;287;341;280;;education
f;professional;city;yes;sev_a_year;2g;0;1;0;1;1;1;1;1;;232;;367;244;226;184;529;partner
f;professional;city;yes;never;5g;0;1;0;0;1;1;1;0;;257;;;264;257;228;;education
f;general;city;yes;sev_a_year;4g;1;1;1;1;1;0;1;1;278;284;332;361;293;;223;242;sep
f;professional;city;yes;sev_a_year;6g;1;1;0;0;1;0;1;1;241;256;;;263;;210;209;sep
f;professional;city;yes;sev_a_year;9g;1;0;0;0;1;1;0;1;228;;;;237;220;;228;work
m;professional;city;yes;sev_a_year;7g;1;1;1;1;1;0;1;1;346;310;358;331;317;;262;260;sep
f;higher;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;259;;;;208;269;267;child
f;professional;city;yes;sev_a_year;9g;1;1;0;0;0;1;1;1;272;305;;;;272;213;212;child
f;professional;city;no;never;6g;0;1;0;0;0;1;1;1;;311;;;;230;231;229;child
f;general;city;yes;sev_a_year;3g;1;1;1;0;1;1;1;1;221;277;225;;283;221;212;208;div
m;higher;city;yes;sev_a_year;8g;1;0;0;0;0;0;1;1;300;;;;;;266;265;br
m;professional;city;yes;sev_a_year;5g;0;1;0;0;1;1;1;0;;289;;;296;208;244;;education
f;professional;city;yes;never;7g;0;1;0;0;1;1;1;0;;240;;;261;258;229;;education
f;higher;city;yes;sev_a_year;11g;0;0;0;0;0;0;1;0;;;;;;;233;;education
m;higher;city;yes;never;7g;1;1;0;0;1;1;0;1;257;262;;;279;269;;286;work
m;general;city;yes;never;6g;0;1;0;0;0;1;1;1;;235;;;;222;199;199;child
m;professional;city;yes;sev_a_year;11g;1;1;0;0;0;0;1;1;259;271;;;;;216;216;child
f;professional;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;255;;;;255;260;241;child
m;professional;city;yes;sev_a_year;9g;0;1;0;0;0;1;1;1;;229;;;;229;204;227;child
m;professional;city;yes;sev_a_year;9g;0;1;0;0;0;0;1;1;;247;;;;;244;220;child
f;professional;city;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;268;;;;204;253;252;child
f;professional;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;249;;;;215;210;249;child
f;higher;city;yes;sev_a_year;9g;1;1;0;1;0;0;1;1;415;302;;368;;;288;285;child
f;professional;city;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;;263;;;;190;213;211;child
f;professional;city;no;never;1g;0;1;0;0;0;1;1;1;;303;;;;234;234;233;child
f;higher;city;yes;never;10g;0;1;0;1;1;1;1;1;;218;;323;222;218;307;307;partner
f;higher;city;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;320;;;;285;214;294;child
f;professional;city;yes;never;5g;0;1;0;0;0;1;1;1;;306;;;;268;221;220;child
f;professional;city;no;never;6g;0;1;0;0;0;1;1;1;;239;;;;237;238;235;child
f;professional;city;yes;sev_a_year;10g;0;1;0;0;1;1;1;1;;205;;;195;207;250;248;div
f;professional;city;yes;sev_a_year;7g;0;1;0;0;0;1;1;1;;281;;;;281;195;218;child
f;professional;city;yes;sev_a_year;10g;0;1;0;0;0;1;1;1;;255;;;;274;280;240;child
