gender;education type;locality;religion;how_often;generation;1_event
f;professional;city;yes;sev_a_year;5;sep
f;professional;city;yes;never;4;sep
f;higher;city;yes;sev_a_year;4;sep
f;higher;city;yes;sev_a_year;10;partner
f;professional;city;yes;sev_a_year;5;education
f;general;city;no;never;7;sep
f;professional;city;no;never;4;sep
f;higher;city;yes;never;8;marriage
m;professional;city;yes;sev_a_year;6;sep
m;professional;city;yes;sev_a_year;10;education
m;higher;city;no;never;9;education
f;professional;city;yes;never;5;work
m;professional;city;yes;never;4;sep
f;professional;city;yes;min_once_a_month;2;marriage
f;professional;city;no;never;8;education
f;higher;city;no;never;8;marriage
f;professional;city;yes;sev_a_year;8;sep
f;professional;city;yes;sev_a_year;2;work
f;professional;city;yes;never;11;education
f;higher;city;yes;never;10;sep
f;professional;city;yes;min_once_a_month;1;sep
f;professional;city;yes;never;2;sep
f;higher;city;yes;sev_a_year;5;work
f;professional;city;no;sev_a_year;4;work
m;general;city;yes;never;10;sep
f;higher;city;yes;min_once_a_month;6;work
f;higher;city;yes;min_once_a_month;5;marriage
m;professional;city;no;never;2;work
f;professional;city;no;sev_a_year;10;work
f;general;city;yes;sev_a_year;2;education
m;higher;city;yes;sev_a_year;6;work
f;professional;city;yes;min_once_a_month;3;sep
f;professional;city;yes;never;7;education
f;higher;city;yes;never;5;education
m;professional;city;yes;never;6;work
f;higher;city;no;never;3;work
f;higher;city;yes;never;11;sep
f;higher;city;yes;sev_a_year;8;work
f;higher;city;yes;sev_a_year;5;marriage
f;professional;city;yes;sev_a_year;2;education
f;professional;city;yes;sev_a_year;10;education
f;professional;city;yes;sev_a_year;9;education
f;higher;city;yes;sev_a_year;10;marriage
m;professional;city;yes;sev_a_year;6;work
f;professional;city;yes;never;6;sep
m;general;city;yes;min_once_a_month;11;work
m;general;city;yes;never;11;education
f;professional;city;yes;never;1;work
f;professional;city;yes;sev_a_year;5;sep
f;professional;city;yes;never;6;sep
m;professional;city;no;never;2;work
f;professional;city;yes;sev_a_year;6;work
f;higher;city;yes;never;1;work
f;professional;city;yes;sev_a_year;3;marriage
f;professional;city;yes;never;9;sep
f;professional;city;yes;sev_a_year;9;sep
f;professional;city;yes;sev_a_year;7;sep
f;professional;city;yes;sev_a_year;10;education
f;professional;city;yes;sev_a_year;6;education
f;professional;city;no;sev_a_year;5;partner
m;professional;city;no;never;7;education
m;professional;village;yes;never;2;work
f;professional;village;yes;never;6;education
f;higher;village;yes;never;4;sep
f;professional;village;yes;never;6;education
f;general;village;yes;never;2;sep
f;higher;village;yes;sev_a_year;7;sep
f;general;village;no;never;3;work
f;professional;village;yes;never;7;education
f;professional;village;no;never;6;education
f;professional;village;no;never;7;work
f;professional;village;yes;never;9;work
